Designator,Mid X,Mid Y,Rotation,Layer
C1,166.5,-70.38,270.0,top
C10,197.63,-74.57,0.0,top
C11,199.01,-68.37,0.0,top
C12,202.21,-86.5275,270.0,top
C13,205.19,-91.0,90.0,top
C14,220.31,-112.1,180.0,top
C15,220.31,-110.62,0.0,top
C16,220.8125,-101.11,180.0,top
C17,190.94,-111.52,180.0,bottom
C18,190.94,-110.01,180.0,bottom
C19,217.05,-88.72,270.0,bottom
C2,162.97,-75.32,180.0,top
C20,218.56,-88.72,270.0,bottom
C21,197.83,-87.2575,90.0,top
C22,167.6,-82.49,0.0,bottom
C23,220.77,-95.38,0.0,top
C24,197.63,-77.72,0.0,top
C25,199.24,-70.09,0.0,top
C26,197.63,-76.22,0.0,top
C27,198.06,-82.66,90.0,top
C28,199.59,-87.01,90.0,top
C29,201.07,-74.2475,90.0,bottom
C3,178.69,-87.02,0.0,top
C30,198.75,-74.25,90.0,bottom
C31,227.41,-58.97,270.0,top
C32,223.06,-57.06,90.0,top
C33,168.16,-77.49,0.0,top
C34,168.16,-78.97,0.0,top
C35,202.65,-65.35,90.0,top
C36,204.16,-65.35,90.0,top
C37,211.21,-58.71,270.0,bottom
C38,208.02,-53.07,270.0,bottom
C39,198.86,-53.09,90.0,bottom
C4,174.96,-79.53,270.0,top
C40,198.74,-60.6,180.0,top
C5,212.67,-55.96,90.0,bottom
C6,211.58,-62.47,0.0,bottom
C7,196.06,-79.73,180.0,top
C8,199.59,-82.66,270.0,top
C9,199.24,-71.59,0.0,top
D1,188.905,-56.95,180.0,top
D2,183.31,-56.14,90.0,top
D4,222.38,-107.38,180.0,top
F1,221.62,-62.72,270.0,top
FB1,211.35,-64.19,0.0,bottom
IC1,206.6425,-105.254999,180.0,top
IC2,200.0,-80.0,270.0,bottom
J1,202.795,-51.658,180.0,top
J2,217.685,-52.85,90.0,top
J3,220.03,-92.2,270.0,bottom
J4,204.0,-110.0,0.0,bottom
J5,196.0,-110.0,0.0,bottom
LED1,232.665,-79.83,90.0,bottom
R1,207.95,-65.72,90.0,top
R10,226.53,-81.32,0.0,bottom
R11,226.53,-79.83,0.0,bottom
R12,226.53,-78.34,0.0,bottom
R13,171.72,-80.0,270.0,bottom
R14,167.6,-81.02,0.0,bottom
R15,213.25,-67.15,90.0,top
R16,220.8125,-102.62,180.0,top
R17,193.26,-97.29,180.0,top
R18,217.75,-59.74,180.0,top
R19,222.49,-52.76,180.0,top
R2,206.44,-65.72,90.0,top
R20,213.08,-46.25,270.0,top
R21,192.4,-46.21,90.0,top
R22,214.76,-67.15,90.0,top
R23,190.92,-86.76,180.0,top
R24,194.26,-86.76,0.0,top
R25,194.31,-80.19,270.0,bottom
R26,161.9,-79.43,90.0,top
R27,162.9275,-76.82,0.0,top
R28,205.19,-87.66,270.0,top
R29,206.51,-53.07,270.0,bottom
R3,204.16,-68.69,90.0,top
R30,200.37,-53.09,90.0,bottom
R31,205.03,-93.4,0.0,top
R4,202.65,-68.69,90.0,top
R5,197.63,-73.1,0.0,top
R6,203.7,-86.5275,90.0,top
R7,210.63,-72.3,90.0,top
R8,212.14,-72.3,90.0,top
R9,212.09,-80.42,270.0,top
SW1,223.805,-98.24,0.0,top
SW2,190.16,-101.975,270.0,top
U1,205.5375,-79.077499,180.0,top
U2,214.02,-61.8975,90.0,top
U3,181.435,-67.32,90.0,top
U4,180.2,-81.55,90.0,top
U5,163.96,-79.26,270.0,top
Y1,202.65,-90.3375,270.0,top
